slice,Locality,X,Y,Country,age_min,age_max,age_diff
slice_80000_70000,Abri du Maras,4.563,44.312,France,70000,95000,25000
slice_80000_70000,Abrigo de Navalmaíllo,-3.809,40.923,Spain,66603,83246,16643
slice_80000_70000,Arcy-sur-Cure - Grotte du Renne,3.762,47.591,France,45000,75000,30000
slice_80000_70000,Balver Cave,7.874,51.337,Germany,68000,72000,4000
slice_80000_70000,Baume de Gigny,5.475,46.47,France,57000,71000,14000
slice_80000_70000,Bettencourt-Saint-Ouen,2.117,50.014,France,65000,71000,6000
slice_80000_70000,Bisnik Cave,19.665,50.426,Poland,70000,90000,20000
slice_80000_70000,Buhlen_Oberer Fundplatz,9.087,51.191,Germany,57000,82000,25000
slice_80000_70000,Capelvenere,17.979,40.142,Italy,70000,100000,30000
slice_80000_70000,Chez-Pinaud,-0.419,45.438,France,54000,80600,26600
slice_80000_70000,Ciemna Cave,19.832,50.197,Poland,57000,71000,14000
slice_80000_70000,Combe-Grenal,1.226,44.806,France,57000,71000,14000
slice_80000_70000,Covolo De Nadale,11.3,45.26,Italy,57000,71000,14000
slice_80000_70000,Crvena Stijena,18.481,42.779,Montenegro,78000,90000,12000
slice_80000_70000,Cueva Antón,-1.496,38.065,Spain,60000,80000,20000
slice_80000_70000,Cueva Bajondillo,-4.498,36.621,Spain,58140,76900,18760
slice_80000_70000,Cueva Des-Cubierta,-3.808,40.923,Spain,47600,71000,23400
slice_80000_70000,Cueva Morín,-3.858,43.359,Spain,57000,71000,14000
slice_80000_70000,Cueva de El Pendo,-3.912,43.389,Spain,63800,73800,10000
slice_80000_70000,Divje babe I,13.546,46.064,Slovenia,65000,75000,10000
slice_80000_70000,El Castillo,-3.966,43.292,Spain,59800,78400,18600
slice_80000_70000,Fossellone,13.08,41.223,Italy,56000,80000,24000
slice_80000_70000,Fumane,10.905,45.592,Italy,68000,90000,22000
slice_80000_70000,Geißenklösterle,9.771,48.398,Germany,49000,73000,24000
slice_80000_70000,Ghiardo,10.503,44.67,Italy,60000,70700,10700
slice_80000_70000,Giganti,18.2,39.9,Italy,70000,80000,10000
slice_80000_70000,Grotte Mandrin,4.771,44.47,France,50000,71000,21000
slice_80000_70000,Grotte Rainaude 1,6.595,43.53,France,45000,71000,26000
slice_80000_70000,Grotte Vaufrey,1.159,44.813,France,57000,71000,14000
slice_80000_70000,Grotte des Ramandils,3.038,42.998,France,71000,83000,12000
slice_80000_70000,Gruta da Oliveira,-8.615,39.505,Portugal,65000,71000,6000
slice_80000_70000,Guattari,13.096,41.232,Italy,55000,80000,25000
slice_80000_70000,Kulna Cave,16.738,49.408,Czech Republic,49300,77500,28200
slice_80000_70000,La Folie,0.356,46.618,France,55300,85000,29700
slice_80000_70000,La Quina - Amont,0.295,45.508,France,60000,71000,11000
slice_80000_70000,La Roche Cotard,0.431,47.337,France,69000,81500,12500
slice_80000_70000,Le Rozel,-1.84,49.472,France,71000,84500,13500
slice_80000_70000,Les Canalettes,3.26,43.982,France,67500,79500,12000
slice_80000_70000,Lichtenberg,11.255,52.918,Germany,62800,78800,16000
slice_80000_70000,Loewenburg Neu-Muehlefeld III,7.3,47.41,Switzerland,50000,75000,25000
slice_80000_70000,Marcello Zei,17.58,40.7,Italy,70000,100000,30000
slice_80000_70000,Moscerini,13.477,41.24,Italy,70000,80000,10000
slice_80000_70000,Moula Guercy,4.848,44.883,France,50000,72000,22000
slice_80000_70000,Noir Bois,7.12,47.43,Switzerland,50000,75000,25000
slice_80000_70000,Pech de l Azé II,1.253,44.859,France,56000,72000,16000
slice_80000_70000,Pech de l Azé IV,1.255,44.858,France,73000,101000,28000
slice_80000_70000,Plaidter Hummerich,7.366,50.385,Germany,71000,96000,25000
slice_80000_70000,Regourdou,1.178,45.055,France,57000,71000,14000
slice_80000_70000,Serra Cicora,17.56,40.3,Italy,70000,100000,30000
slice_80000_70000,Sesselfelsgrotte,11.79,48.935,Germany,45710,72800,27090
slice_80000_70000,Sipka,18.119,49.588,Czech Republic,71000,85000,14000
slice_80000_70000,Stajnia Cave,19.484,50.616,Poland,49000,71000,22000
slice_80000_70000,Sveduv Stul,16.748,49.246,Czech Republic,71000,85000,14000
slice_80000_70000,Tata,18.32,47.642,Hungary,70000,99500,29500
slice_80000_70000,Tönchesberg 1,7.36,50.368,Germany,60000,72000,12000
slice_80000_70000,Veldwezelt-Hezerwater,5.644,50.86,Belgium,60000,90000,30000
slice_80000_70000,Walou,5.696,50.591,Belgium,71000,85000,14000
slice_80000_70000,Amud Cave,35.502,32.872,Israel,59000,81000,22000
slice_80000_70000,Carihuela,-3.43,37.449,Spain,63400,91000,27600
slice_80000_70000,Ilskaya,38.553,44.814,Russia,57000,72000,15000
